"This is quite good:
Vancouver director releases hilarious ""Stay in your fucking house!"" #COVIDCanada public service announcement video
https://t.co/vKVso2ily2 https://t.co/ljhWYQSG0U"
"Seemed appropriate. #wfh #covid_19 #bahhumbug #morningcoffee @ North Vancouver, British Columbia https://t.co/74fxbocOHU"
"@CBCNews I work  as a delivery driver associate in the Amazon according to the coronavirus situation in BC  the Amazon doesn't give us hand Sanitizers, masks, gloves
I have never expected it in Canada 
Nobody cares about our health
#Amazon #coronavirus #Vancouver #bc #CanadaCovid19"
#Vancouver - Enforcing social distancing during the coronavirus crisis https://t.co/r4CA55ZswO
"@globalhalifax @globalnews I work  as a delivery driver associate in the Amazon according to the coronavirus situation in BC  the Amazon doesn't give us hand Sanitizers, masks, gloves
I have never expected it in Canada 
Nobody cares about our health
#Amazon #coronavirus #Vancouver #bc #Canada"
@kpwerker Yes! If they live in Vancouver please tell them to call us at 604-331-3670 and we will set up accounts so they can access our digital resources. We're also working on implementing an online process to get a card and will share when that is ready here: https://t.co/9vdU3o1AL0
And Vancouver ratchets up the difficulty level on this stupid COVID-19 game. Not as much sunshine this week--how are you staying active?
#Vancouver - Vancouver to introduce fines for businesses that ignore COVID-19 precautions https://t.co/7fONGYDhKe
"#Vancouver - Vancouver mayor says fines, penalties coming to enforce coronavirus measures https://t.co/eeXBFuvbNz"
#Vancouver - Vancouver council to vote on fines up to $50K for businesses not obeying COVID-19 rules https://t.co/CoU8siXnzT
"@BruceAHeyman This isn't reassuring but there are idiots in Canada too
https://t.co/oZKFxMhBlA"
"Bravo, Vancouver! Bravo! Selfish little pieces of !!!!

Metro Vancouver residents continue to gather outdoors despite dire COVID-19 warnings https://t.co/NnJJ5ElE5s"
"#Vancouver - Yes, patios must also close under coronavirus measures: City of Vancouver https://t.co/TWYEG3GxbG"
"#Vancouver - COVID-19: Vancouver restricts park access, moves to fine businesses https://t.co/DHxw3cJTeW"
"Registered nurse, Jenny Omani Vancouver 

Educaters in Intensive Care unit Vancouver General.

Biggest tursherery in Western Canada

LISTEN TO HER!! 

THIS IS REAL AND ITALY CAN HAPPEN STAY AT HOME!! 

#CORONAVIRUS #CoronavirusPandemic 

https://t.co/Jh7jtDCtdn"
"How about @CdnDentalAssoc coordinate their members to contribute to the nationwide effort after dentists became vectors of transmission after 15,000 dentists attended a dental convention in Vancouver?
And how about dentists offer their services to support the COVID-19
effort? https://t.co/lQQfGdnbkf"
"Vancouver mayor says fines, penalties coming to enforce coronavirus measures https://t.co/Fk9oAwPYcD"
No COVID-19 testing for cluster of illness after Vancouver memorial service | CBC News https://t.co/cr7hXytMP3
"No COVID-19 testing for cluster of illness after Vancouver memorial service 
https://t.co/ph4ucJVjVZ https://t.co/iChIP631tc"
"@BCGovNews @GlobalBC @cbcnewsbc @Rob_Fleming Why is District 43 Vancouver region sending letters to teachers ordering them to come to the schoool? Schools have more than 50. Are teachers not important? Better control your  bureaucrats like @RandyManhas 

https://t.co/sAi9fsu2AK"
"@StephanieCarvin To what degree have the feds deployed CSIS, CSE to feed information to CBSA? To gather and collate information on COVID-19 from around the world? To help coordinate the fantastically disordered joint Vancouver, Victoria, Ottawa response?"
"At 7:20, Dr. Richard Stanwick, Chief Medical Health Officer, @VanIslandHealth will join us with the latest information on the COVID - 19 pandemic on Vancouver Island.Listen live: https://t.co/Cd96Y3cjss"
#Vancouver - City of Vancouver to update its efforts against COVID-19 https://t.co/9XeVRJaNSf
"At 7:20, Dr. Richard Stanwick, Chief Medical Health Officer, @VanIslandHealth will join us with the latest information on the COVID - 19 pandemic on Vancouver Island"
"At least 11 people who attended a memorial service on March 13 at the Unitarian Church of Vancouver at 49th Avenue and Oak Street have fallen ill with some COVID-19-like symptoms.
https://t.co/TJl5OKaTlW"
Businesses could be fined up to $50K for violating new COVID-19 rules in Vancouver https://t.co/Mj8K4y3wIL
Businesses could be fined up to $50K for violating new COVID-19 rules in Vancouver https://t.co/DttrPOhVrb
Businesses could be fined up to $50K for violating new COVID-19 rules in Vancouver https://t.co/7hlpglgvOa
Businesses could be fined up to $50K for violating new COVID-19 rules in Vancouver https://t.co/f7N4dMKhbo
"While Vancouver Coastal Health announced last week that some recent visitors to Whistler have tested positive for COVID-19, it remains to be seen exactly how many confirmed cases there are in the community. 

https://t.co/y9m4qHJz9j"
"PODCAST: Dusty Kelly of Vancouver Musicians Association on the impacts of the pandemic on musicians, and how we can support them. @dustykelly @VMA145  #Covid_19 #musicmatters 
https://t.co/K2VMuo1KLR"
"If you don’t test how do you know the shape of the curve? 
No COVID-19 testing for cluster of illness after Vancouver memorial service | CBC News https://t.co/IDz8YKAuym"
"COVID-19 update for Canada, March 23: $50,000 fine for Vancouver businesses https://t.co/HWbi9y6drK"
"COVID-19 update for Canada, March 23: $50,000 fine for Vancouver businesses https://t.co/RvSHBkpAr3"
"COVID-19 update for Canada, March 23: $50,000 fine for Vancouver businesses https://t.co/Wn6qkgCAug"
"COVID-19 update for Canada, March 23: $50,000 fine for Vancouver businesses https://t.co/wkhs4EgOnl"
"COVID-19 update for Canada, March 23: $50,000 fine for Vancouver businesses https://t.co/FEKxBwRD6c"
"COVID-19 update for Canada, March 23: $50,000 fine for Vancouver businesses https://t.co/VHNHlXSQLl"
"COVID-19 update for Canada, March 23: $50,000 fine for Vancouver businesses https://t.co/05gUtfTmz1"
"COVID-19 update for Canada, March 23: $50,000 fine for Vancouver businesses https://t.co/Lt1cFX9EOe"
"COVID-19 update for Canada, March 23: $50,000 fine for Vancouver businesses https://t.co/GRyBfIwdyV"
"COVID-19 update for Canada, March 23: $50,000 fine for Vancouver businesses https://t.co/jkS94EzKqx"
"COVID-19 update for Canada, March 23: $50,000 fine for Vancouver businesses https://t.co/W6xeQSZXn0"
"COVID-19 update for Canada, March 23: $50,000 fine for Vancouver businesses https://t.co/SMew9qu5Jt"
"COVID-19 update for Canada, March 23: $50,000 fine for Vancouver businesses https://t.co/NFou7EPHT2"
"COVID-19 update for Canada, March 23: $50,000 fine for Vancouver businesses https://t.co/B5jfrCbWJS"
